gene,pan1wt,pan2wt,pan3ko,pan4ko,pan5ko,pan6ko,pan7wt,pan8wt
0610005C13Rik,0,0,0,0,0,0,0,0
0610006L08Rik,0,0,0,0,0,0,0,0
0610009B22Rik,35.856,40.314,35.508,37.582,38.57,38.426,41.635,40.51
0610009E02Rik,1.434,0,0,0.817,0,2.175,0,1.87
0610009L18Rik,2.868,2.573,1.732,3.268,0,0,0,1.246
0610009O20Rik,74.581,60.041,45.9,44.936,57.855,58.001,47.691,84.759
0610010F05Rik,276.809,337.089,179.271,155.232,276.42,216.054,246.781,221.246
0610010K14Rik,4.303,8.577,1.732,5.719,9.643,7.25,6.056,11.218
0610012D04Rik,0,0,0,0,0,0,0,0
0610012G03Rik,41.593,55.753,34.642,43.302,48.213,34.801,39.364,63.569
0610025J13Rik,0,0,0,0,0,0,0,0
0610030E20Rik,381.508,342.236,332.561,352.131,353.561,309.581,369.414,263.003
0610031O16Rik,0,0,0,0,0,0,0,0
0610033M10Rik,0,1.715,0,0,0,0,0,0
0610037L13Rik,94.66,79.769,80.542,97.224,109.282,92.802,93.11,137.734
0610038B21Rik,1.434,3.431,0.866,0,3.214,0,0,2.493
0610039K10Rik,0,0,0,1.634,0,0,0,1.87
0610040B10Rik,5.737,9.435,10.393,8.987,3.214,2.9,5.299,4.986
0610040F04Rik,0,0,0,0,0,0,0.757,0
0610040J01Rik,86.055,62.615,67.551,51.472,38.57,41.326,68.887,84.136
0610043K17Rik,0,0.858,0,1.634,0,0.725,0.757,0.623
1010001B22Rik,1.434,0,0,0,0,0.725,0,0
1010001N08Rik,0,0,0,0,0,0,0,0
1110002E22Rik,0,0.858,0,0,3.214,0,0,0
1110002J07Rik,7.171,56.61,32.91,35.948,3.214,7.975,12.112,4.986
1110002L01Rik,15.777,19.728,12.991,18.791,19.285,18.85,12.112,23.059
1110002O04Rik,0,0,0,0,0,0,0,0
1110003F10Rik,1.434,0.858,1.732,0,0,0.725,0,0.623
1110004E09Rik,30.119,17.155,12.125,8.987,12.857,13.05,10.598,21.813
1110004F10Rik,295.454,259.036,239.028,234.482,331.061,257.38,242.239,243.682
1110006O24Rik,1.434,0.858,0,0,0,0,0,0.623
1110008E08Rik,0,0,0,0,0,0,0,0
1110008F13Rik,496.248,507.779,732.673,683.02,404.988,473.434,485.991,312.861
1110008L16Rik,57.37,55.753,44.168,49.838,77.141,75.401,53.747,57.96
1110008P14Rik,27.251,17.155,18.187,30.229,9.643,10.15,9.841,20.567
1110012L19Rik,45.896,36.025,40.704,34.314,48.213,46.401,28.009,40.51
1110015O18Rik,0,0,0,0,0,0,0,0
1110017D15Rik,0,0,0,0.817,0,0,0.757,0
1110018N20Rik,0,0,0,0,0,0,0,0
1110019D14Rik,7.171,2.573,13.857,12.255,12.857,15.225,5.299,11.841
1110020A21Rik,0,0,1.732,0,0,0.725,0.757,0
1110025L11Rik,0,0,0,0,0,0,0,0
1110025M09Rik,31.553,22.301,12.991,13.889,9.643,3.625,18.168,13.088
1110028F11Rik,0,0,0,0,0,0,0,0.623
1110028F18Rik,0,0,0,0.817,3.214,2.175,0.757,0
1110032A03Rik,64.541,85.773,65.819,68.629,57.855,66.701,78.728,56.714
1110032F04Rik,0,0,0,0.817,0,0,1.514,0
1110034G24Rik,12.908,12.008,19.919,20.425,3.214,13.775,18.925,13.711
1110035H17Rik,0,1.715,0,1.634,0,0,0,1.87
1110036E04Rik,0,0,0,0,0,0,0,0
1110038B12Rik,104.7,80.627,58.025,72.714,86.783,50.026,85.541,118.413
1110038F14Rik,22.948,30.878,51.963,48.204,22.499,20.3,21.953,29.292
1110046J04Rik,0,0,0,1.634,0,0,0,6.856
1110051M20Rik,28.685,21.443,12.991,13.889,12.857,11.6,29.523,46.119
1110057P08Rik,0,0,0,0,0,0,0,0
1110059E24Rik,146.293,142.384,143.763,125.819,157.495,129.777,99.923,104.079
